eng,tamil,pronunciation,synonym
extension,நீட்டிப்பு,Nīṭṭippu,"elongation, lengthiness, annex, annexe, extension_phone, file_name_extension, telephone_extension, extension, denotation, university_extension, extension_service, reference, filename_extension, wing, prolongation, propagation"
extensive,விரிவான,Virivāṉa,"all-inclusive, encompassing, wide, extended, broad, extensive, all-embracing, all-encompassing, across-the-board, panoptic, blanket"
extent,அளவு,Aḷavu,extent
external,வெளிப்புற,Veḷippuṟa,"international, external, extraneous, outside"
extra,கூடுதல்,Kūṭutal,"spear_carrier, redundant, additional, spare, superfluous, supernumerary, special, duplicate, excess, supererogatory, surplus, extra"
extraordinary,அசாதாரண,Acātāraṇa,"sinful, over-the-top, extraordinary"
extreme,எக்ஸ்ட்ரீம்,Eksṭrīm,"extreme, utmost, uttermost, extremum, extreme_point"
extremely,மிகவும்,Mikavum,"extremely, super, passing, highly, exceedingly"
eye,கண்,Kaṇ,"oculus, eyeball, middle, centre, optic, eye, center, heart"
fabric,துணி,Tuṇi,"cloth, textile, fabric, material, framework"
face,முகம்,Mukam,"facial_expression, typeface, face_up, brass, case, boldness, grimace, aspect, look, face, side, confront, font, cheek, present, fount, front, nerve, human_face, expression"
facility,வசதி,Vacati,"adeptness, adroitness, deftness, quickness, facility, installation, readiness"
fact,உண்மையில்,Uṇmaiyil,fact
factor,காரணி,Kāraṇi,"agent, factor, constituent, element, factor_in, ingredient, component, cistron, factor_out, broker, divisor, gene"
factory,தொழிற்சாலை,Toḻiṟcālai,"manufactory, factory, mill, manufacturing_plant"
faculty,ஆசிரியராக,Āciriyarāka,"staff, mental_faculty, faculty, module"
fade,மங்காது,Maṅkātu,"evanesce, wither, languish, pass, disappearance, blow_over, pass_off, slicing, fleet, fade, melt, slice"
fail,தோல்வியடைகிறது,Tōlviyaṭaikiṟatu,"break_down, flush_it, fail, die, conk_out, break, go_wrong, flunk, run_out, give_way, give_out, go, go_bad, bomb, neglect, miscarry, betray"
failure,தோல்வி,Tōlvi,"bankruptcy, loser, unsuccessful_person, failure, nonstarter"
fair,நியாயமான,Niyāyamāṉa,"fair, bonny, average, bonnie, comely, reasonable, middling, bazaar, just, sightly, fairly, fairish, mediocre, funfair, clean, carnival, honest, evenhandedly"
fairly,நியாயமாக,Niyāyamāka,"fair, middling, passably, pretty, fairly, reasonably, somewhat, jolly, moderately, clean, evenhandedly"
faith,விசுவாசம்,Vicuvācam,"religion, trust, organized_religion, religious_belief, faith"
fall,வீழ்ச்சி,Vīḻcci,"spill, declivity, declension, crepuscle, pass, devolve, come, descend, lessen, nightfall, surrender, descent, decrease, Fall, free_fall, go_down, diminish, hang, downslope, autumn, dip, precipitate, dusk, come_down, pin, accrue, shine, crepuscule, tumble, strike, return, decline, light, fall, evenfall, settle, gloam, gloaming, fall_down, twilight, capitulation, declination, downfall, flow, drop"
FALSE,FALSE.,FALSE.,"fake, treacherously, simulated, put_on, off-key, pretended, false, sour, sham, treasonably, fictive, fictitious, assumed, faux, untrue, imitation, faithlessly, mistaken, traitorously, delusive"
familiar,தெரிந்தவர்,Terintavar,"companion, intimate, conversant, fellow, familiar, familiar_spirit, comrade, associate"
family,குடும்பம்,Kuṭumpam,"syndicate, menage, family_unit, category, family, crime_syndicate, fellowship, kinsperson, house, kinfolk, kinsfolk, mob, phratry, folk, kin, class, family_line, home, sept, household"
famous,புகழ்பெற்ற,Pukaḻpeṟṟa,"illustrious, far-famed, notable, famous, noted, famed, renowned, celebrated"
fan,ரசிகர்,Racikar,"rooter, sports_fan, winnow, fan, buff, devotee, lover"
fantasy,கற்பனை,Kaṟpaṉai,"fantasise, fantasize, fantasy, phantasy, fancy, illusion"
far,இதுவரை,Ituvarai,"Army_for_the_Liberation_of_Rwanda, Interahamwe, FAR, Former_Armed_Forces, far, ALIR"
farm,பண்ணை,Paṇṇai,"raise, grow, produce, farm"
farmer,உழவர்,Uḻavar,"husbandman, sodbuster, James_Leonard_Farmer, farmer, Farmer, Fannie_Merritt_Farmer, granger, Fannie_Farmer"
fashion,ஃபேஷன்,Ḥpēṣaṉ,"fashion, style, forge, mode, way, manner"
fast,வேகமாக,Vēkamāka,"riotous, dissolute, profligate, truehearted, tight, quick, fast, degraded, firm, immobile, fasting, flying, degenerate, dissipated, loyal, libertine, debauched"
fat,கொழுப்பு,Koḻuppu,"fatten_up, fatten_out, juicy, plump_out, flesh_out, productive, fatness, plump, rich, avoirdupois, adipose_tissue, fatty_tissue, fertile, fatten, fill_out, fatty, blubber, fat"
fate,விதி,Viti,"fortune, lot, circumstances, destiny, designate, portion, doom, luck, destine, fate"
father,அப்பா,Appā,"founding_father, Father, Padre, Fatherhood, mother, Father-God, engender, male_parent, beginner, Father_of_the_Church, founder, generate, Church_Father, father, forefather, don, beget, bring_forth, begetter, get, sire"
fault,தவறு,Tavaṟu,"fracture, fault, break, error, flaw, faulting, defect, mistake, blame, geological_fault, shift, demerit"
favor,ஆதரவு,Ātaravu,"party_favor, party_favour, prefer, favor, privilege, favour"
favorite,பிடித்தவை,Piṭittavai,"favourite, preferred, pet, darling, deary, ducky, front-runner, favored, favorite, dearie, best-loved, preferent"
fear,பயம்,Payam,"reverence, concern, veneration, awe, fearfulness, fright, revere, fear, venerate, care, dread"
feature,அம்சம்,Amcam,"lineament, sport, feature_film, boast, feature_of_speech, have, feature_article, characteristic, feature"
federal,கூட்டாட்சியின்,Kūṭṭāṭciyiṉ,"Fed, Federal, Union_soldier, federal, federal_official, Union, Federal_soldier"
fee,கட்டணம்,Kaṭṭaṇam,"fee, tip, bung"
feed,உணவு,Uṇavu,"fee, feast, prey, feed_in, fertilise, bung, feed, give, flow, tip, fertilize, run, eat, provender, course"
feel,உணர்வு,Uṇarvu,"find, look, feel, sense, spirit, flavour, palpate, tone, tactile_property, flavor, experience, feeling, finger, smell"
feeling,உணர்வு,Uṇarvu,"palpate, flavour, tactile_sensation, touch_sensation, feeling, opinion, look, belief, sense, notion, touch, impression, feel, tactual_sensation, flavor, experience, find, spirit, tone, finger, intuitive_feeling, smell"
fellow,சக,Caka,"fella, colleague, familiar, lad, buster, beau, companion, blighter, feller, comrade, cuss, bloke, mate, fellow, swain, boyfriend, associate, young_man, gent, confrere, dude, chap"
female,பெண்,Peṇ,"female_person, distaff, female"
fence,வேலி,Vēli,"contend, argue, palisade, debate, fence_in, surround, fence, fencing, wall"
few,சில,Cila,few
fewer,குறைவாக,Kuṟaivāka,"fewer, few"
fiber,நார்,Nār,"fibre, vulcanized_fiber, character, fiber, roughage"
fiction,கற்பனை,Kaṟpaṉai,"fiction, fabrication, fable"
field,புலம்,Pulam,"field_of_operation, subject, field_of_battle, field_of_view, theatre, field, champaign, battlefield, sphere, athletic_field, subject_area, field_of_honor, theatre_of_operations, bailiwick, field_of_force, area, line_of_business, battleground, field_of_study, theater, landing_field, field_of_operations, flying_field, playing_area, playing_field, subject_field, study, domain, force_field, airfield, discipline, arena, plain, orbit, theater_of_operations"
fifteen,பதினைந்து,Patiṉaintu,"xv, XV, 15, fifteen"
fifth,ஐந்தாவது,Aintāvatu,"5th, one-fifth, fifth, fifth_part, twenty_percent"
fifty,ஐம்பது,Aimpatu,"L, fifty_dollar_bill, fifty, l, 50"
fight,சண்டை,Caṇṭai,"press, agitate, engagement, competitiveness, contend, struggle, combat, fight, defend, crusade, campaign, fighting, conflict, fight_down, fight_back, scrap, oppose, push, battle"
fighter,போர்,Pōr,"paladin, belligerent, combatant, attack_aircraft, champion, hero, fighter_aircraft, fighter, battler, scrapper"
fighting,சண்டை,Caṇṭai,"contend, campaign, fighting, combat-ready, scrap, struggle, press, combat, fight, oppose, active, defend, fight_down, agitate, fight_back, crusade, push"
figure,படம்,Paṭam,"bod, build, shape, visualise, project, flesh, public_figure, figure, figure_of_speech, compute, frame, soma, number, reckon, pattern, material_body, image, design, forecast, name, work_out, anatomy, estimate, form, cipher, chassis, fancy, picture, see, cypher, trope, visualize, human_body, physique, envision, calculate, physical_body, enter, count_on, digit, fig"
file,கோப்பு,Kōppu,"single_file, charge, lodge, filing_cabinet, file_cabinet, file_away, register, file, Indian_file, data_file"
fill,நிரப்பவும்,Nirappavum,"fill, make_full, take, occupy, meet, fulfill, satiate, filling, fulfil, sate, satisfy, fill_up, replete"
film,திரைப்படம்,Tiraippaṭam,"pic, shoot, photographic_film, take, motion-picture_show, celluloid, flick, movie, film, motion_picture, plastic_film, picture_show, picture, moving_picture, moving-picture_show, cinema"
final,இறுதி,Iṟuti,"final, net, concluding, final_exam, terminal, last, final_examination"
finally,இறுதியாக,Iṟutiyāka,"in_the_end, in_conclusion, finally, at_last, ultimately, at_long_last, eventually, last, lastly"
finance,நிதி,Niti,finance
financial,நிதி,Niti,"fiscal, financial"
find,கண்டுபிடிக்க,Kaṇṭupiṭikka,"ascertain, regain, bump, recover, obtain, find_oneself, detect, discover, find_out, incur, discovery, chance, receive, encounter, notice, come_up, happen, determine, witness, retrieve, feel, uncovering, breakthrough, line_up, see, observe, find, get, rule, get_hold"
finding,கண்டுபிடித்து,Kaṇṭupiṭittu,"ascertain, regain, bump, recover, obtain, find_oneself, detect, discover, find_out, incur, finding, chance, receive, encounter, notice, come_up, happen, determine, witness, retrieve, feel, line_up, see, observe, find, determination, get, rule, get_hold"
fine,நன்றாக,Naṉṟāka,"delicately, fine, alright, OK, o.k., exquisitely, hunky-dory, very_well, all_right, finely, ok, ticket, mulct, okay, amercement"
finger,விரல்,Viral,"""fingers_breadth"", feel, fingerbreadth, finger, thumb, digit"
finish,பூச்சு,Pūccu,"terminate, conclusion, complete, culture, wind_up, end, goal, refinement, fetch_up, destination, eat_up, finish, cultivation, close, finale, land_up, ending, cease, finis, stopping_point, coating, end_up, polish_off, finish_up, polish, stop, finishing, last"
fire,தீ,Tī,"terminate, open_fire, flame, give_notice, kindle, force_out, fervidness, fuel, send_away, fire, flaming, blast, go_off, elicit, flak, can, ardor, flack, fervency, attack, firing, sack, provoke, fervour, evoke, displace, discharge, enkindle, dismiss, arouse, raise, give_the_axe, burn, ardour, give_the_sack, burn_down, fervor"
firm,நிறுவனம்,Niṟuvaṉam,"steadfastly, truehearted, steady, firmly, tauten, unfaltering, unwavering, unwaveringly, house, unfluctuating, stiff, fast, firm, immobile, unshakable, strong, solid, business_firm, steadfast, loyal, unbendable"
first,முதல்,Mutal,"commencement, low, first, first_base, maiden, initiatory, start, foremost, 1st, first_off, initiative, number_1, inaugural, starting_time, firstly, showtime, first_of_all, kickoff, beginning, get-go, world-class, offset, number_one, first_gear, first-class_honours_degree, for_the_first_time, outset, low_gear"
fish,மீன்,Mīṉ,"fish, angle, Fish, Pisces_the_Fishes, Pisces"
fishing,மீன்பிடித்தல்,Mīṉpiṭittal,"sportfishing, fish, angle, fishing"
fit,பொருத்து,Poruttu,"go, jibe, equip, conform_to, fit, outfit, match, scene, burst, suit, conniption, fit_out, agree, tantrum, paroxysm, correspond, meet, set, primed, convulsion, gibe, accommodate, check, tally"
fitness,உடற்பயிற்சி,Uṭaṟpayiṟci,"fitness, seaworthiness, physical_fitness, fittingness"
five,ஐந்து,Aintu,"quintet, fivesome, fin, Phoebe, five-spot, pentad, 5, quint, V, five, quintuplet, cinque, Little_Phoebe, v, basketball_team"
fix,சரி,Cari,"doctor, repair, hole, sterilize, deposit, mess, desex, bushel, locating, reparation, kettle_of_fish, restore, fixate, secure, desexualize, determine, posit, fix, furbish_up, pay_back, sterilise, pickle, set, mend, muddle, specify, mending, desexualise, fixture, localisation, limit, make, cook, unsex, localization, touch_on, pay_off, gear_up, set_up, get, jam, fixing, fasten, define, location, ready, prepare, situate"
flag,கொடி,Koṭi,"iris, ease_off, slacken_off, sag, pin, flagstone, flag, droop, fleur-de-lis, swag, sword_lily, masthead, signal_flag, ease_up"
flame,சுடர்,Cuṭar,"flare, flaming, fire, flame"
